"","x"
"342","3110056K07Rik"
"343","3110057O12Rik"
"344","3110062M04Rik"
"345","3110070M22Rik"
"346","3110082I17Rik"
"347","3110083C13Rik"
"348","3222401L13Rik"
"349","3300002A11Rik"
"350","3300002I08Rik"
"351","3425401B19Rik"
"352","3632451O06Rik"
"353","3830403N18Rik"
"354","3830406C13Rik"
"355","4430402I18Rik"
"356","4631405K08Rik"
"357","4632411P08Rik"
"358","4632415L05Rik"
"359","4632419I22Rik"
"360","4632427E13Rik"
"361","4632428N05Rik"
"362","4731419I09Rik"
"363","4732414G09Rik"
"364","4732440D04Rik"
"365","4732444A12Rik"
"366","4732465J04Rik"
"367","4831440E17Rik"
"368","4833407H14Rik"
"369","4833418N02Rik"
"370","4833420G17Rik"
"371","4833427G06Rik"
"372","4833439L19Rik"
"373","4921504A21Rik"
"374","4921507G05Rik"
"375","4921523L03Rik"
"376","4921524J17Rik"
"377","4921531C22Rik"
"378","4921534H16Rik"
"379","4921536K21Rik"
"380","4922501C03Rik"
"381","4922501L14Rik"
"382","4930402H24Rik"
"383","4930403O15Rik"
"384","4930404N11Rik"
"385","4930405A21Rik"
"386","4930405O22Rik"
"387","4930412C18Rik"
"388","4930415O20Rik"
"389","4930417O22Rik"
"390","4930422G04Rik"
"391","4930429F24Rik"
"392","4930430F08Rik"
"393","4930431P03Rik"
"394","4930443O20Rik"
"395","4930444P10Rik"
"396","4930451C15Rik"
"397","4930451G09Rik"
"398","4930452B06Rik"
"399","4930453N24Rik"
"400","4930455G09Rik"
"401","4930458D05Rik"
"402","4930473A02Rik"
"403","4930480K23Rik"
"404","4930481A15Rik"
"405","4930486L24Rik"
"406","4930503E14Rik"
"407","4930503L19Rik"
"408","4930505A04Rik"
"409","4930506C21Rik"
"410","4930506M07Rik"
"411","4930509G22Rik"
"412","4930511M11Rik"
"413","4930513N10Rik"
"414","4930515G01Rik"
"415","4930516B21Rik"
"416","4930518I15Rik"
"417","4930519G04Rik"
"418","4930520O04Rik"
"419","4930522L14Rik"
"420","4930523C07Rik"
"421","4930529M08Rik"
"422","4930533K18Rik"
"423","4930538E20Rik"
"424","4930539E08Rik"
"425","4930539J05Rik"
"426","4930544G11Rik"
"427","4930546H06Rik"
"428","4930547M16Rik"
"429","4930550C14Rik"
"430","4930550G17Rik"
"431","4930556M19Rik"
"432","4930556N08Rik"
"433","4930562C15Rik"
"434","4930562F07Rik"
"435","4930563E22Rik"
"436","4930565N06Rik"
"437","4930566F21Rik"
"438","4930570N19Rik"
"439","4930578C19Rik"
"440","4930579C12Rik"
"441","4930579G18Rik"
"442","4930579G24Rik"
"443","4930579K19Rik"
"444","4930581F22Rik"
"445","4930599N23Rik"
"446","4931403E22Rik"
"447","4931406B18Rik"
"448","4931406C07Rik"
"449","4931406P16Rik"
"450","4931414P19Rik"
"451","4931415C17Rik"
"452","4931428F04Rik"
"453","4931429I11Rik"
"454","4931431C16Rik"
"455","4931440J10Rik"
"456","4931440P22Rik"
"457","4932411E22Rik"
"458","4932418E24Rik"
"459","4932427H20Rik"
"460","4932431P20Rik"
"461","4932438A13Rik"
"462","4932443I19Rik"
"463","4933404O12Rik"
"464","4933407K13Rik"
"465","4933408B17Rik"
"466","4933408J17Rik"
"467","4933411K20Rik"
"468","4933416M07Rik"
"469","4933417D19Rik"
"470","4933421O10Rik"
"471","4933424M12Rik"
"472","4933426D04Rik"
"473","4933426M11Rik"
"474","4933427D14Rik"
"475","4933427G17Rik"
"476","4933431E20Rik"
"477","4933434E20Rik"
"478","4933436C20Rik"
"479","4933437N03Rik"
"480","4933439C10Rik"
"481","4933439K11Rik"
"482","4933440M02Rik"
"483","4933440N22Rik"
"484","5031414D18Rik"
"485","5031425E22Rik"
"486","5031434O11Rik"
"487","5031439G07Rik"
"488","5033411D12Rik"
"489","5330413P13Rik"
"490","5330417C22Rik"
"491","5330426P16Rik"
"492","5430402O13Rik"
"493","5430403G16Rik"
"494","5430405H02Rik"
"495","5430416N02Rik"
"496","5430416O09Rik"
"497","5430417L22Rik"
"498","5430421N21Rik"
"499","5430427O19Rik"
"500","5430435G22Rik"
"501","5530601H04Rik"
"502","5730405O15Rik"
"503","5730409E04Rik"
"504","5730422E09Rik"
"505","5730455P16Rik"
"506","5730508B09Rik"
"507","5730559C18Rik"
"508","5730577I03Rik"
"509","5830403L16Rik"
"510","5830415F09Rik"
"511","5830416P10Rik"
"512","5830418K08Rik"
"513","5830428H23Rik"
"514","5830432E09Rik"
"515","5830444B04Rik"
"516","5830454E08Rik"
"517","5830462I19Rik"
"518","5830473C10Rik"
"519","6030419C18Rik"
"520","6030442K20Rik"
"521","6030458C11Rik"
"522","6230400D17Rik"
"523","6330403K07Rik"
"524","6330403L08Rik"
"525","6330408A02Rik"
"526","6330416G13Rik"
"527","6330418K02Rik"
"528","6330419J24Rik"
"529","6330562C20Rik"
"530","6430531B16Rik"
"531","6430548M08Rik"
"532","6430550D23Rik"
"533","6430562O15Rik"
"534","6430573F11Rik"
"535","6430590A07Rik"
"536","6530402F18Rik"
"537","6720401G13Rik"
"538","6720427I07Rik"
"539","6820408C15Rik"
"540","8030451A03Rik"
"541","8030462N17Rik"
"542","8430403D17Rik"
"543","8430408G22Rik"
"544","8430419L09Rik"
"545","8430427H17Rik"
"546","8430429K09Rik"
"547","9030025P20Rik"
"548","9030407P20Rik"
"549","9030612E09Rik"
"550","9030617O03Rik"
"551","9030622O22Rik"
"552","9030624J02Rik"
"553","9130008F23Rik"
"554","9130011E15Rik"
"555","9130017K11Rik"
"556","9130019O22Rik"
"557","9130019P16Rik"
"558","9130020K20Rik"
"559","9130023H24Rik"
"560","9130206I24Rik"
"561","9130221H12Rik"
"562","9130230L23Rik"
"563","9130230N09Rik"
"564","9130401M01Rik"
"565","9230110C19Rik"
"566","9230114K14Rik"
"567","9230115E21Rik"
"568","9230117E06Rik"
"569","9330020H09Rik"
"570","9330101J02Rik"
"571","9330111N05Rik"
"572","9330136K24Rik"
"573","9330151L19Rik"
"574","9330159N05Rik"
"575","9330160F10Rik"
"576","9330162012Rik"
"577","9330175E14Rik"
"578","9330182L06Rik"
"579","9430008C03Rik"
"580","9430015G10Rik"
"581","9430016H08Rik"
"582","9430020K01Rik"
"583","9430023L20Rik"
"584","9430038I01Rik"
"585","9430065F17Rik"
"586","9430091E24Rik"
"587","9530026P05Rik"
"588","9530048J24Rik"
"589","9530051G07Rik"
"590","9530053A07Rik"
"591","9530068E07Rik"
"592","9530072K05Rik"
"593","9530077C05Rik"
"594","9530082P21Rik"
"595","9630033F20Rik"
"596","9830107B12Rik"
"597","9830147E19Rik"
"598","9930004E17Rik"
"599","9930012K11Rik"
"600","9930014A18Rik"
"601","9930021J03Rik"
"602","9930104L06Rik"
